epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15532,0,32.1907,0,0,0,0,0,0,33.125,0,0,0,0
2,4.03666,0,32.1962,0,0,0,0,0,0,33.1304,0,4.71288e-06,4.71288e-06,4.71288e-06
3,5.84472,0,32.1638,0,0,0,0,0,0,33.1358,0,9.3315e-06,9.3315e-06,9.3315e-06
4,7.59825,0,32.1399,0,0,0,0,0,0,33.1416,0,1.38559e-05,1.38559e-05,1.38559e-05
5,9.37181,0,32.1437,0,0,0,0,0,0,33.1485,0,1.8286e-05,1.8286e-05,1.8286e-05
6,11.1796,0,32.0713,0,0,0,0,0,0,33.1565,0,2.26219e-05,2.26219e-05,2.26219e-05
7,12.9285,0,32.0501,0,0,0,0,0,0,33.1651,0,2.68635e-05,2.68635e-05,2.68635e-05
8,14.6606,0,31.9811,0,0,0,0,0,0,33.1749,0,3.10109e-05,3.10109e-05,3.10109e-05
9,16.3811,0,31.9289,0,0,0,0,0,0,33.1749,0,3.50641e-05,3.50641e-05,3.50641e-05
10,18.3669,0,31.9285,0,0,0,0,0,0,33.1915,0,3.9023e-05,3.9023e-05,3.9023e-05
11,20.389,0,31.8511,0,0,0,0,0,0,33.1915,0,4.28876e-05,4.28876e-05,4.28876e-05
12,22.4303,0,31.8559,0,0,0,0,0,0,33.2093,0,4.6658e-05,4.6658e-05,4.6658e-05
13,24.1758,0,31.7663,0,0,0,0,0,0,33.2093,0,5.03341e-05,5.03341e-05,5.03341e-05
14,25.9291,0,31.7894,0,0,0,0,0,0,33.2297,0,5.3916e-05,5.3916e-05,5.3916e-05
15,27.6589,0,31.697,0,0,0,0,0,0,33.2297,0,5.74037e-05,5.74037e-05,5.74037e-05
16,29.4396,0,31.6735,0,0,0,0,0,0,33.2518,0,6.07971e-05,6.07971e-05,6.07971e-05
17,31.291,0,31.566,0,0,0,0,0,0,33.2518,0,6.40963e-05,6.40963e-05,6.40963e-05
18,33.3867,0,31.5899,0,0,0,0,0,0,33.2745,0,6.73012e-05,6.73012e-05,6.73012e-05
19,35.1565,0,31.4787,0,0,0,0,0,0,33.2745,0,7.04118e-05,7.04118e-05,7.04118e-05
20,37.0041,0,31.483,0,0,0,0,0,0,33.2963,0,7.34282e-05,7.34282e-05,7.34282e-05
21,38.7407,0,31.3479,0,0,0,0,0,0,33.2963,0,7.63504e-05,7.63504e-05,7.63504e-05
22,40.5766,0,31.3716,0,0,0,0,0,0,33.3153,0,7.91783e-05,7.91783e-05,7.91783e-05
23,42.3108,0,31.2765,0,0,0,0,0,0,33.3153,0,8.1912e-05,8.1912e-05,8.1912e-05
24,44.0123,0,31.2348,0,0,0,0,0,0,33.3153,0,8.45514e-05,8.45514e-05,8.45514e-05
25,45.7493,0,31.2245,0,0,0,0,0,0,33.336,0,8.70966e-05,8.70966e-05,8.70966e-05
26,47.456,0,31.1225,0,0,0,0,0,0,33.336,0,8.95475e-05,8.95475e-05,8.95475e-05
27,49.1574,0,31.1331,0,0,0,0,0,0,33.336,0,9.19042e-05,9.19042e-05,9.19042e-05
28,50.9568,0,31.0994,0,0,0,0,0,0,33.3479,0,9.41666e-05,9.41666e-05,9.41666e-05
29,52.7983,0,31.0252,0,0,0,0,0,0,33.3479,0,9.63348e-05,9.63348e-05,9.63348e-05
30,54.51,0,30.9964,0,0,0,0,0,0,33.3479,0,9.84087e-05,9.84087e-05,9.84087e-05
31,56.2523,0,31.017,0,0,0,0,0,0,33.3548,0,0.000100388,0.000100388,0.000100388
32,57.936,0,30.8079,0,0,0,0,0,0,33.3548,0,0.000102274,0.000102274,0.000102274
33,59.6332,0,30.8545,0,0,0,0,0,0,33.3548,0,0.000104065,0.000104065,0.000104065
34,61.429,0,30.8482,0,0,0,0,0,0,33.3544,0,0.000105762,0.000105762,0.000105762
35,63.1331,0,30.6654,0,0,0,0,0,0,33.3544,0,0.000107365,0.000107365,0.000107365
36,64.8134,0,30.7051,0,0,0,0,0,0,33.3544,0,0.000108873,0.000108873,0.000108873
37,66.4919,0,30.6635,0,0,0,0,0,0,33.3544,0,0.000110287,0.000110287,0.000110287
38,68.3307,0,30.6813,0,0,0,0,0,0,33.355,0,0.000111607,0.000111607,0.000111607
39,70.1589,0,30.5285,0,0,0,0,0,0,33.355,0,0.000112833,0.000112833,0.000112833
40,71.8872,0,30.521,0,0,0,0,0,0,33.355,0,0.000113964,0.000113964,0.000113964
41,73.5966,0,30.5145,0,0,0,0,0,0,33.355,0,0.000115002,0.000115002,0.000115002
42,75.3788,0,30.4967,0,0,0,0,0,0,33.3472,0,0.000115945,0.000115945,0.000115945
43,77.0936,0,30.349,0,0,0,0,0,0,33.3472,0,0.000116793,0.000116793,0.000116793
44,78.8809,0,30.3495,0,0,0,0,0,0,33.3472,0,0.000117548,0.000117548,0.000117548
45,80.7193,0,30.3394,0,0,0,0,0,0,33.3472,0,0.000118208,0.000118208,0.000118208
46,82.5109,0,30.3827,0,0,0,0,0,0,33.3289,0,0.000118774,0.000118774,0.000118774
47,84.5013,0,30.1956,0,0,0,0,0,0,33.3289,0,0.000119246,0.000119246,0.000119246
