epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2068,1.46327,4.3075,1.36051,0,0,0,0,1.35157,4.3995,1.25187,1.904e-05,1.904e-05,1.904e-05
2,78.6932,1.40739,4.24521,1.34554,0,0,0,0,1.27136,4.37504,1.19842,4.07194e-05,4.07194e-05,4.07194e-05
3,109.355,1.31129,4.18167,1.26663,0,0,0,0,1.15948,4.33226,1.12803,6.00426e-05,6.00426e-05,6.00426e-05
4,138.915,1.29616,4.08855,1.2483,0,0,0,0,1.12724,4.29801,1.09333,7.70097e-05,7.70097e-05,7.70097e-05
5,174.903,1.21135,3.90345,1.21455,0.0464,0.01985,0.03117,0.02354,1.08135,4.26653,1.06542,9.16205e-05,9.16205e-05,9.16205e-05
6,208.905,1.27912,3.80474,1.24172,0.05025,0.05646,0.04658,0.0333,1.07523,4.23515,1.05401,0.000103875,0.000103875,0.000103875
7,243.228,1.26474,3.64364,1.21613,0.09496,0.14892,0.08602,0.07097,1.09643,4.15359,1.0523,0.000113774,0.000113774,0.000113774
8,282.428,1.16532,3.28985,1.20578,0.03619,0.27404,0.06348,0.04567,1.08992,4.06836,1.0461,0.000121316,0.000121316,0.000121316
9,315.914,1.25066,3.30264,1.23531,0.03856,0.37448,0.08652,0.05965,1.09131,3.86199,1.04977,0.000126502,0.000126502,0.000126502
10,353.29,1.27397,3.18371,1.18731,0.03018,0.42713,0.09702,0.06685,1.09788,3.71332,1.0555,0.000129332,0.000129332,0.000129332
11,384.488,1.27843,2.79164,1.20213,0.71189,0.10046,0.10753,0.07424,1.10351,3.57946,1.05323,0.000129805,0.000129805,0.000129805
12,415.446,1.25912,2.78986,1.20188,0.87214,0.04723,0.11879,0.08436,1.09424,3.4547,1.04259,0.000127923,0.000127923,0.000127923
13,446.093,1.21692,2.72314,1.15907,0.87869,0.05128,0.12441,0.08931,1.07744,3.40932,1.03176,0.000123684,0.000123684,0.000123684
14,475.878,1.17864,2.55828,1.17551,0.87625,0.05778,0.13634,0.09897,1.03701,3.32181,1.00737,0.000117089,0.000117089,0.000117089
15,506.448,1.21122,2.68285,1.14128,0.88463,0.07307,0.14809,0.10696,1.01675,3.2201,1.00043,0.000108138,0.000108138,0.000108138
16,537.43,1.16858,2.52311,1.18778,0.8857,0.08208,0.15802,0.1151,1.00058,3.16208,0.99603,9.68303e-05,9.68303e-05,9.68303e-05
17,566.948,1.12096,2.44884,1.102,0.80438,0.10829,0.16891,0.12368,0.98506,3.02673,0.99394,8.31667e-05,8.31667e-05,8.31667e-05
18,597.794,1.11388,2.33418,1.11581,0.80532,0.11859,0.17698,0.12946,0.98122,2.9392,0.99291,6.71469e-05,6.71469e-05,6.71469e-05
19,627.518,1.14703,2.32141,1.12433,0.75317,0.13332,0.18283,0.13399,0.97729,2.84861,0.99232,4.8771e-05,4.8771e-05,4.8771e-05
20,659.115,1.12129,2.33292,1.12921,0.7543,0.15303,0.19646,0.14333,0.96857,2.69013,0.99048,2.80388e-05,2.80388e-05,2.80388e-05
