epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6526,1.64914,5.2597,1.45502,0.05136,0.08782,0.04416,0.0265,1.60847,4.63973,1.42846,2.38e-05,2.38e-05,2.38e-05
2,527.229,1.57832,3.95523,1.41894,0.1394,0.12196,0.07941,0.04957,1.44856,4.40776,1.31329,5.18416e-05,5.18416e-05,5.18416e-05
3,577.336,1.52259,3.55576,1.39208,0.56593,0.09477,0.10794,0.06495,1.35677,6.43609,1.24924,7.93178e-05,7.93178e-05,7.93178e-05
4,627.108,1.42522,3.0085,1.31278,0.5831,0.12224,0.12637,0.07744,1.29199,7.48206,1.20579,0.000106228,0.000106228,0.000106228
5,677.474,1.27823,2.55543,1.26442,0.71956,0.15789,0.16103,0.10163,1.27506,5.25762,1.17687,0.000132574,0.000132574,0.000132574
6,727.975,1.31481,2.42917,1.27409,0.73288,0.21301,0.20211,0.12823,1.25005,3.59492,1.15429,0.000158353,0.000158353,0.000158353
7,776.188,1.24385,2.27481,1.1976,0.68317,0.27459,0.27793,0.18862,1.22378,2.95493,1.13012,0.000183567,0.000183567,0.000183567
8,821.941,1.27155,2.18679,1.18319,0.73675,0.27776,0.29931,0.20306,1.20848,2.7281,1.11763,0.000208216,0.000208216,0.000208216
9,864.837,1.14639,1.7939,1.12023,0.69691,0.32434,0.31688,0.21321,1.1991,2.48128,1.1067,0.000232299,0.000232299,0.000232299
10,907.706,1.25313,1.94203,1.18267,0.73209,0.33419,0.37965,0.26157,1.1491,1.95024,1.08412,0.000255817,0.000255817,0.000255817
11,950.484,1.17202,1.84972,1.19134,0.69107,0.40843,0.42093,0.29639,1.10463,1.75484,1.0734,0.000278769,0.000278769,0.000278769
12,993.517,1.16677,1.68547,1.15294,0.71554,0.39843,0.48215,0.3439,1.07176,1.67271,1.06976,0.000301156,0.000301156,0.000301156
13,1035.71,1.14508,1.71641,1.16512,0.77077,0.39202,0.51991,0.37501,1.05404,1.53477,1.07165,0.000322977,0.000322977,0.000322977
14,1078.28,1.0701,1.55716,1.13202,0.71719,0.42657,0.55454,0.38962,1.03756,1.48756,1.06982,0.000344233,0.000344233,0.000344233
15,1121.54,1.06394,1.60116,1.1793,0.71719,0.42657,0.55454,0.38962,1.03756,1.48756,1.06982,0.000364923,0.000364923,0.000364923
16,1165.62,1.12853,1.44462,1.13881,0.51912,0.57886,0.58977,0.43073,1.02251,1.39831,1.06035,0.000385048,0.000385048,0.000385048
17,1208.01,1.05207,1.45929,1.13978,0.73327,0.53211,0.61991,0.45166,1.00861,1.33625,1.05082,0.000400602,0.000400602,0.000400602
18,1250.91,1.13866,1.44829,1.12629,0.77683,0.56191,0.64672,0.46922,1.01097,1.30028,1.04904,0.000395889,0.000395889,0.000395889
19,1295.02,1.05733,1.30857,1.09415,0.77683,0.56191,0.64672,0.46922,1.01097,1.30028,1.04904,0.000391177,0.000391177,0.000391177
20,1338.91,1.04286,1.37789,1.06214,0.72908,0.61429,0.68098,0.49804,1.00098,1.25759,1.04626,0.000386464,0.000386464,0.000386464
21,1381.18,1.08247,1.369,1.12313,0.71468,0.64531,0.74281,0.56559,0.99327,1.17199,1.0393,0.000381752,0.000381752,0.000381752
22,1423.37,1.02778,1.26593,1.09574,0.79077,0.62822,0.75497,0.56988,0.96885,1.13592,1.0178,0.00037704,0.00037704,0.00037704
23,1466.2,0.98736,1.31214,1.0739,0.79077,0.62822,0.75497,0.56988,0.96885,1.13592,1.0178,0.000372327,0.000372327,0.000372327
24,1508.77,1.02126,1.28611,1.07532,0.86342,0.62538,0.77831,0.58126,0.9712,1.10477,1.01341,0.000367615,0.000367615,0.000367615
25,1551.99,0.96573,1.17165,1.05118,0.84928,0.6292,0.82287,0.61356,0.96346,1.02457,1.00781,0.000362902,0.000362902,0.000362902
26,1594.5,1.02716,1.15112,1.10679,0.75427,0.71252,0.86366,0.62947,0.94721,1.00707,1.00438,0.00035819,0.00035819,0.00035819
27,1637.56,1.037,1.13509,1.10662,0.75427,0.71252,0.86366,0.62947,0.94721,1.00707,1.00438,0.000353478,0.000353478,0.000353478
28,1681.53,0.94763,1.13994,1.0399,0.78359,0.68954,0.86236,0.63852,0.93636,0.99019,0.99885,0.000348765,0.000348765,0.000348765
29,1725.67,0.95735,1.10278,1.03539,0.87131,0.62591,0.85693,0.65125,0.93892,0.96461,0.99626,0.000344053,0.000344053,0.000344053
30,1768.73,0.97605,1.10833,1.06369,0.86502,0.66515,0.86777,0.6453,0.95227,0.95558,0.99648,0.00033934,0.00033934,0.00033934
