epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8432,1.50184,4.35731,1.35207,0,0,0,0,1.51209,4.36299,1.31805,1.428e-05,1.428e-05,1.428e-05
2,28.4859,1.43219,4.23081,1.36162,0,0,0,0,1.4496,4.33729,1.27535,3.29901e-05,3.29901e-05,3.29901e-05
3,42.267,1.39212,4.16425,1.32438,0,0,0,0,1.40695,4.31976,1.24457,5.13233e-05,5.13233e-05,5.13233e-05
4,55.8435,1.39374,4.14584,1.34915,0,0,0,0,1.35085,4.29732,1.20315,6.92794e-05,6.92794e-05,6.92794e-05
5,69.1379,1.35905,4.06698,1.32749,0,0,0,0,1.29905,4.28402,1.17048,8.68586e-05,8.68586e-05,8.68586e-05
6,83.1849,1.21075,3.98975,1.3044,0,0,0,0,1.26777,4.28014,1.15644,0.000104061,0.000104061,0.000104061
7,96.3992,1.22108,3.93638,1.23199,0.00893,0.00169,0.00592,0.00355,1.20956,4.26695,1.125,0.000120886,0.000120886,0.000120886
8,109.895,1.30067,3.9569,1.22705,0.03468,0.02205,0.02258,0.01534,1.19508,4.25305,1.11354,0.000137334,0.000137334,0.000137334
9,123.241,1.34485,3.86102,1.30769,0.02905,0.05389,0.025,0.0176,1.17925,4.23601,1.10298,0.000153405,0.000153405,0.000153405
10,136.62,1.21533,3.81224,1.18605,0.07094,0.16132,0.0601,0.0448,1.16157,4.2049,1.0917,0.000169099,0.000169099,0.000169099
11,150.82,1.30989,3.62188,1.22938,0.04784,0.23993,0.06,0.0431,1.16293,4.15729,1.0856,0.000184417,0.000184417,0.000184417
12,164.199,1.30059,3.50722,1.22219,0.03239,0.29461,0.058,0.04144,1.16325,4.08011,1.07812,0.000199357,0.000199357,0.000199357
13,177.451,1.2338,3.4041,1.23683,0.02814,0.32731,0.06789,0.04579,1.17282,3.98373,1.0769,0.00021392,0.00021392,0.00021392
14,190.586,1.24098,3.29329,1.24102,0.02516,0.39099,0.0841,0.05324,1.19254,3.83279,1.07896,0.000228106,0.000228106,0.000228106
15,204.894,1.15848,3.226,1.17398,0.02278,0.44956,0.09945,0.06425,1.18452,3.66617,1.06974,0.000241916,0.000241916,0.000241916
16,219.203,1.19562,3.17786,1.16447,0.02278,0.44956,0.09945,0.06425,1.18452,3.66617,1.06974,0.000255348,0.000255348,0.000255348
17,232.82,1.17622,2.96795,1.20951,0.87265,0.04761,0.10565,0.06916,1.17582,3.49469,1.06486,0.000268403,0.000268403,0.000268403
18,246.266,1.19324,3.05645,1.15622,0.72191,0.08383,0.11764,0.07685,1.17629,3.32624,1.06817,0.000281081,0.000281081,0.000281081
19,259.658,1.2295,2.8993,1.20092,0.72191,0.08383,0.11764,0.07685,1.17629,3.32624,1.06817,0.000293383,0.000293383,0.000293383
20,272.84,1.17253,2.91038,1.15245,0.70346,0.12618,0.12711,0.08536,1.15655,3.17386,1.06929,0.000305307,0.000305307,0.000305307
21,286.946,1.19654,2.90271,1.15898,0.69054,0.15151,0.13998,0.09697,1.12926,3.00018,1.06582,0.000316854,0.000316854,0.000316854
22,300.18,1.22312,2.70747,1.17237,0.69054,0.15151,0.13998,0.09697,1.12926,3.00018,1.06582,0.000328024,0.000328024,0.000328024
23,313.414,1.20738,2.68414,1.17117,0.7005,0.16568,0.15573,0.10898,1.09683,2.82266,1.05457,0.000338818,0.000338818,0.000338818
24,326.625,1.19315,2.78531,1.1873,0.7005,0.16568,0.15573,0.10898,1.09683,2.82266,1.05457,0.000349234,0.000349234,0.000349234
25,339.736,1.13012,2.7221,1.19305,0.66426,0.17143,0.17978,0.12825,1.08758,2.59119,1.05977,0.000359273,0.000359273,0.000359273
26,353.684,1.18076,2.61956,1.16688,0.66426,0.17143,0.17978,0.12825,1.08758,2.59119,1.05977,0.00035819,0.00035819,0.00035819
27,367.618,1.23486,2.66993,1.18467,0.58887,0.21869,0.19464,0.13619,1.07348,2.4656,1.05772,0.000353478,0.000353478,0.000353478
28,380.758,1.1704,2.59945,1.19682,0.58887,0.21869,0.19464,0.13619,1.07348,2.4656,1.05772,0.000348765,0.000348765,0.000348765
29,394.165,1.18276,2.52803,1.19706,0.61159,0.2315,0.21205,0.14777,1.06689,2.35823,1.05811,0.000344053,0.000344053,0.000344053
30,407.298,1.22032,2.54445,1.21302,0.61159,0.2315,0.21205,0.14777,1.06689,2.35823,1.05811,0.00033934,0.00033934,0.00033934
31,421.157,1.07593,2.45919,1.15623,0.6183,0.22123,0.23809,0.1674,1.05958,2.26187,1.0591,0.000334628,0.000334628,0.000334628
32,434.415,1.12424,2.40703,1.12268,0.6183,0.22123,0.23809,0.1674,1.05958,2.26187,1.0591,0.000329916,0.000329916,0.000329916
33,447.988,1.13144,2.45798,1.17077,0.66856,0.23151,0.26132,0.18421,1.0662,2.18462,1.06625,0.000325203,0.000325203,0.000325203
34,461.177,1.15298,2.44342,1.15194,0.66856,0.23151,0.26132,0.18421,1.0662,2.18462,1.06625,0.000320491,0.000320491,0.000320491
35,474.744,1.17591,2.50067,1.14994,0.69038,0.25189,0.29453,0.20783,1.05051,2.12284,1.05804,0.000315778,0.000315778,0.000315778
36,489.002,1.08738,2.30705,1.16893,0.69038,0.25189,0.29453,0.20783,1.05051,2.12284,1.05804,0.000311066,0.000311066,0.000311066
37,502.217,1.11329,2.24216,1.13906,0.66926,0.31003,0.3247,0.23625,1.04144,2.03289,1.05746,0.000306354,0.000306354,0.000306354
38,515.278,1.09752,2.09289,1.1091,0.66926,0.31003,0.3247,0.23625,1.04144,2.03289,1.05746,0.000301641,0.000301641,0.000301641
39,528.584,1.1032,2.32529,1.11929,0.7118,0.31109,0.34897,0.25598,1.03583,1.91953,1.05646,0.000296929,0.000296929,0.000296929
40,542.205,1.08178,2.08345,1.11139,0.7118,0.31109,0.34897,0.25598,1.03583,1.91953,1.05646,0.000292216,0.000292216,0.000292216
41,556.828,1.12966,2.19001,1.12097,0.68296,0.32858,0.37799,0.27685,1.01905,1.82959,1.04759,0.000287504,0.000287504,0.000287504
42,570.093,1.10257,2.12519,1.11939,0.68296,0.32858,0.37799,0.27685,1.01905,1.82959,1.04759,0.000282792,0.000282792,0.000282792
43,584.022,1.06366,1.99975,1.10035,0.69668,0.3706,0.40213,0.29631,1.00098,1.76216,1.03387,0.000278079,0.000278079,0.000278079
44,597.111,1.09313,2.01749,1.11238,0.69668,0.3706,0.40213,0.29631,1.00098,1.76216,1.03387,0.000273367,0.000273367,0.000273367
45,610.442,1.08904,1.95045,1.16096,0.70353,0.38835,0.41832,0.31047,0.9767,1.70683,1.0228,0.000268654,0.000268654,0.000268654
46,623.773,1.133,2.01061,1.18383,0.70353,0.38835,0.41832,0.31047,0.9767,1.70683,1.0228,0.000263942,0.000263942,0.000263942
47,637.093,1.03376,2.04628,1.12289,0.67837,0.449,0.42305,0.31416,0.95803,1.6831,1.01721,0.00025923,0.00025923,0.00025923
48,650.152,1.09117,1.93437,1.09886,0.67837,0.449,0.42305,0.31416,0.95803,1.6831,1.01721,0.000254517,0.000254517,0.000254517
49,664.18,1.09216,2.10629,1.20128,0.73187,0.3809,0.43618,0.32564,0.94747,1.67311,1.0124,0.000249805,0.000249805,0.000249805
50,677.586,1.03693,1.84794,1.07502,0.73187,0.3809,0.43618,0.32564,0.94747,1.67311,1.0124,0.000245092,0.000245092,0.000245092
51,691.061,1.00787,1.87598,1.11458,0.77691,0.36113,0.45513,0.34296,0.93628,1.6547,1.00728,0.00024038,0.00024038,0.00024038
52,704.69,1.09661,1.86006,1.10947,0.77691,0.36113,0.45513,0.34296,0.93628,1.6547,1.00728,0.000235668,0.000235668,0.000235668
53,717.93,1.07042,1.82879,1.10345,0.74989,0.41249,0.48507,0.36421,0.93358,1.63661,1.00508,0.000230955,0.000230955,0.000230955
54,731.061,0.97965,1.77211,1.09048,0.74989,0.41249,0.48507,0.36421,0.93358,1.63661,1.00508,0.000226243,0.000226243,0.000226243
55,745.419,1.08901,1.8725,1.11074,0.69296,0.49031,0.5075,0.38044,0.93053,1.59031,1.00616,0.00022153,0.00022153,0.00022153
56,758.888,1.01209,1.82156,1.09819,0.69296,0.49031,0.5075,0.38044,0.93053,1.59031,1.00616,0.000216818,0.000216818,0.000216818
57,772.919,1.02185,1.80736,1.07849,0.71403,0.5037,0.52365,0.39149,0.94294,1.56259,1.00939,0.000212106,0.000212106,0.000212106
58,786.133,0.9209,1.6963,1.05612,0.71403,0.5037,0.52365,0.39149,0.94294,1.56259,1.00939,0.000207393,0.000207393,0.000207393
59,799.477,1.00761,1.76208,1.0918,0.76491,0.49006,0.53577,0.40069,0.94729,1.53029,1.00913,0.000202681,0.000202681,0.000202681
60,812.667,1.08411,1.91584,1.16355,0.76491,0.49006,0.53577,0.40069,0.94729,1.53029,1.00913,0.000197968,0.000197968,0.000197968
61,826.133,1.00254,1.7067,1.04091,0.77128,0.50381,0.55193,0.41906,0.92996,1.49421,0.99857,0.000193256,0.000193256,0.000193256
62,839.992,0.99435,1.72892,1.10481,0.77128,0.50381,0.55193,0.41906,0.92996,1.49421,0.99857,0.000188544,0.000188544,0.000188544
63,854.113,0.98976,1.72222,1.07658,0.80784,0.49099,0.56048,0.42861,0.9075,1.45669,0.99322,0.000183831,0.000183831,0.000183831
64,867.226,1.02905,1.73791,1.09257,0.80784,0.49099,0.56048,0.42861,0.9075,1.45669,0.99322,0.000179119,0.000179119,0.000179119
65,880.405,1.05603,1.74544,1.10445,0.83257,0.47873,0.57054,0.44166,0.88253,1.42873,0.9877,0.000174406,0.000174406,0.000174406
66,893.605,0.91591,1.54967,1.06956,0.83257,0.47873,0.57054,0.44166,0.88253,1.42873,0.9877,0.000169694,0.000169694,0.000169694
67,907.462,0.97098,1.7429,1.06228,0.80687,0.49914,0.58742,0.44825,0.86846,1.40652,0.98258,0.000164982,0.000164982,0.000164982
68,920.363,0.95956,1.60888,1.09703,0.80687,0.49914,0.58742,0.44825,0.86846,1.40652,0.98258,0.000160269,0.000160269,0.000160269
69,933.512,0.99134,1.67246,1.03971,0.79297,0.51635,0.59491,0.45544,0.86255,1.3991,0.97952,0.000155557,0.000155557,0.000155557
70,946.983,0.995,1.5607,1.05238,0.79297,0.51635,0.59491,0.45544,0.86255,1.3991,0.97952,0.000150844,0.000150844,0.000150844
71,960.231,0.97774,1.89334,1.10787,0.80941,0.51556,0.60966,0.46823,0.85695,1.39133,0.97342,0.000146132,0.000146132,0.000146132
72,974.302,0.95049,1.48729,1.06165,0.80941,0.51556,0.60966,0.46823,0.85695,1.39133,0.97342,0.00014142,0.00014142,0.00014142
73,987.504,0.87707,1.60771,1.04131,0.81995,0.52352,0.62708,0.48316,0.85038,1.38366,0.96862,0.000136707,0.000136707,0.000136707
74,1000.69,0.95301,1.75398,1.05736,0.81995,0.52352,0.62708,0.48316,0.85038,1.38366,0.96862,0.000131995,0.000131995,0.000131995
75,1013.92,0.98396,1.62565,1.04473,0.81796,0.53391,0.64103,0.49214,0.85105,1.37853,0.96554,0.000127282,0.000127282,0.000127282
76,1027.07,0.96418,1.66412,1.06352,0.81796,0.53391,0.64103,0.49214,0.85105,1.37853,0.96554,0.00012257,0.00012257,0.00012257
77,1041.47,0.98491,1.594,1.06431,0.83235,0.542,0.64963,0.50634,0.85079,1.36395,0.9649,0.000117858,0.000117858,0.000117858
78,1054.55,0.95428,1.46407,1.07924,0.83235,0.542,0.64963,0.50634,0.85079,1.36395,0.9649,0.000113145,0.000113145,0.000113145
79,1067.76,0.97628,1.64716,1.08197,0.83501,0.53251,0.64788,0.50623,0.84597,1.34349,0.96283,0.000108433,0.000108433,0.000108433
80,1080.82,0.94836,1.61096,1.07687,0.83501,0.53251,0.64788,0.50623,0.84597,1.34349,0.96283,0.00010372,0.00010372,0.00010372
81,1094.35,0.93535,1.59551,1.04669,0.85623,0.54289,0.65492,0.51014,0.8381,1.32957,0.96083,9.9008e-05,9.9008e-05,9.9008e-05
82,1108.31,0.94155,1.58714,1.06599,0.85623,0.54289,0.65492,0.51014,0.8381,1.32957,0.96083,9.42956e-05,9.42956e-05,9.42956e-05
83,1121.59,0.97138,1.65695,1.06269,0.86205,0.5408,0.65843,0.51316,0.82965,1.31341,0.9584,8.95832e-05,8.95832e-05,8.95832e-05
84,1135.12,0.91382,1.49221,1.02513,0.86205,0.5408,0.65843,0.51316,0.82965,1.31341,0.9584,8.48708e-05,8.48708e-05,8.48708e-05
85,1149.01,0.89772,1.51378,1.06598,0.86028,0.54634,0.66305,0.51805,0.82172,1.29991,0.95702,8.01584e-05,8.01584e-05,8.01584e-05
86,1162.6,0.93031,1.63606,1.04417,0.86028,0.54634,0.66305,0.51805,0.82172,1.29991,0.95702,7.5446e-05,7.5446e-05,7.5446e-05
87,1176.68,0.97759,1.55395,1.10168,0.88215,0.54273,0.66633,0.51922,0.81651,1.28441,0.95548,7.07336e-05,7.07336e-05,7.07336e-05
88,1189.75,0.93116,1.49595,1.04564,0.88215,0.54273,0.66633,0.51922,0.81651,1.28441,0.95548,6.60212e-05,6.60212e-05,6.60212e-05
89,1202.96,0.94472,1.47508,1.04799,0.88712,0.54042,0.67339,0.52268,0.81116,1.26936,0.95297,6.13088e-05,6.13088e-05,6.13088e-05
